"ProbeID","f","pval","qval","BH","bonferroni","delta_beta","chr","pos","UCSC_RefGene_Name","Relation_to_Island"
"cg13746854",205.38080039038,1.64373358268778e-08,0.00595570455505207,0.00791377177118614,0.00791377177118614,0.556607040609117,"chr9",34370894,"KIAA1161","Island"
"cg18077307",151.370364611741,8.15357968627546e-08,0.00855791294902124,0.0113715126884162,0.0392554909353701,-0.58877375549732,"chr2",98377791,"TMEM131","OpenSea"
"cg02877261",150.776320616224,8.32208021702572e-08,0.00855791294902124,0.0113715126884162,0.0400667384256725,0.559895102354886,"chr4",186061165,"","N_Shelf"
"cg16054907",147.140652742623,9.4477009609835e-08,0.00855791294902124,0.0113715126884162,0.0454860507536647,0.145532528280035,"chr22",50706065,"MAPK11","Island"
"cg24840300",133.441066260369,1.56685983920092e-07,0.0113543391456395,0.0150873247288624,0.0754366236443121,0.292133384966228,"chr19",812517,"LPPR3","Island"
"cg03142697",109.048924124226,4.40456342970928e-07,0.0265982666510157,0.0353430244632827,0.212058146779696,0.628047244126861,"chr21",36258497,"RUNX1;RUNX1;RUNX1","N_Shore"
"cg05289022",99.8637948038675,6.87452829430592e-07,0.0289038658273293,0.03840663944091,0.330974852182188,-0.443751045951557,"chr2",98377864,"TMEM131","OpenSea"
"cg20988098",97.4621053020891,7.77074897432851e-07,0.0289038658273293,0.03840663944091,0.374123486443944,-0.383055293611388,"chr6",157931791,"ZDHHC14;ZDHHC14","OpenSea"
"cg05156901",97.1194880337514,7.90954985981769e-07,0.0289038658273293,0.03840663944091,0.380806068955909,0.410288580703086,"chr22",51016646,"CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg01664727",94.9402581179893,8.86420861257002e-07,0.0289038658273293,0.03840663944091,0.426768210073045,0.567383656952096,"chr21",36258423,"RUNX1;RUNX1;RUNX1","N_Shore"
"cg06530441",93.2912151166817,9.67777276337802e-07,0.0289038658273293,0.03840663944091,0.465937337470111,0.474073208252918,"chr22",51016950,"CPT1B;CPT1B;CPT1B;CHKB-CPT1B;CPT1B;CPT1B;CPT1B;CPT1B","Island"
"cg23602058",93.0842893227101,9.78596466108964e-07,0.0289038658273293,0.03840663944091,0.471146247204627,0.433348022867838,"chr17",48154061,"ITGA3;ITGA3","OpenSea"
